ENVI ASCII Plot File [Sat Oct  3 15:49:00 2015]
Column 1: Wavelength
Column 2: kazzz3_f_f_002.txt:C2~~1
  1.9863  17.4343
  1.9926  17.5204
  1.9988  17.6602
  2.0051  17.9519
  2.0113  18.2002
  2.0176  18.1677
  2.0238  17.9325
  2.0301  17.6805
  2.0363  17.4905
  2.0425  17.3378
  2.0488  17.1626
  2.0550  17.1278
  2.0612  16.9142
  2.0675  16.6684
  2.0737  16.5832
  2.0800  16.4512
  2.0862  16.4256
  2.0924  16.3352
  2.0987  16.2270
  2.1049  16.2373
  2.1111  16.2780
  2.1174  16.2551
  2.1236  16.2587
  2.1298  16.2779
  2.1361  16.3403
  2.1423  16.5188
  2.1485  16.6566
  2.1548  16.6757
  2.1610  16.7818
  2.1672  16.8487
  2.1734  16.8997
  2.1797  16.9672
  2.1859  17.0886
  2.1921  17.1467
  2.1983  17.1773
  2.2045  17.0179
  2.2108  16.8599
  2.2170  16.7457
  2.2232  16.4007
  2.2294  15.8632
  2.2356  15.1573
  2.2419  14.3413
  2.2481  13.6837
  2.2543  13.1526
  2.2605  12.9009
  2.2667  12.6506
  2.2729  12.5722
  2.2791  12.5668
  2.2854  12.4793
  2.2916  12.3734
  2.2978  12.4449
  2.3040  12.5781
  2.3102  12.7076
  2.3164  12.8118
  2.3226  13.1165
  2.3288  13.0895
  2.3350  13.0186
  2.3412  13.0695
  2.3474  13.2032
  2.3536  13.3372
  2.3598  13.3937
  2.3661  13.4498
  2.3723  13.2946
  2.3785  13.2192
  2.3846  13.2513
  2.3909  13.3029
  2.3970  13.4431
  2.4032  13.3411
  2.4095  13.2280
  2.4156  13.3396
  2.4218  13.2486
  2.4280  13.2655
  2.4342  13.2532
  2.4404  12.9221
  2.4466  12.7425
  2.4528  12.3666
